,3P%,FT%,TRB,AST,STL,BLK,PF,PTS,TEAM,AGE,W,SOS,PACE,3PAr,TS%,TOV%,ORB%,FT/FGA,D_eFG%,D_TOV%,DRB%,D_FT/FGA,SEASON
0,0.333,0.79,43.3,24.0,7.8,5.1,23.1,111.8,ATL,24.1,20.0,0.4,103.0,0.398,0.5539999999999999,13.8,21.6,0.204,0.5429999999999999,12.7,74.9,0.233,2019-20
1,0.35200000000000004,0.752,46.1,25.8,8.2,5.1,23.6,113.3,ATL,25.1,29.0,-0.04,103.9,0.403,0.555,14.3,24.7,0.192,0.541,12.8,76.4,0.237,2018-19
2,0.36,0.785,41.9,23.7,7.8,4.2,19.6,103.4,ATL,25.4,24.0,0.15,98.3,0.363,0.547,14.1,21.1,0.185,0.536,13.6,76.2,0.183,2017-18
3,0.341,0.728,44.3,23.6,8.2,4.8,18.2,103.2,ATL,27.9,43.0,-0.38,97.4,0.309,0.541,14.2,23.6,0.215,0.507,13.8,76.1,0.179,2016-17
4,0.35,0.7829999999999999,42.1,25.6,9.1,5.9,19.1,102.8,ATL,28.2,48.0,-0.12,97.1,0.336,0.552,13.8,19.1,0.185,0.48,14.4,74.6,0.194,2015-16
5,0.38,0.778,40.6,25.7,9.1,4.6,17.8,102.5,ATL,27.8,60.0,-0.68,93.9,0.321,0.563,13.5,21.4,0.201,0.4920000000000001,14.9,73.4,0.185,2014-15
6,0.363,0.7809999999999999,40.0,24.9,8.3,4.0,19.2,101.0,ATL,27.5,38.0,-0.4,94.6,0.316,0.5539999999999999,14.3,21.0,0.208,0.51,14.0,74.4,0.196,2013-14
7,0.371,0.715,40.9,24.5,8.1,4.5,18.0,98.0,ATL,27.1,44.0,-0.48,92.6,0.28600000000000003,0.546,14.2,22.2,0.174,0.496,14.2,73.6,0.181,2012-13
8,0.37,0.74,41.2,22.4,8.1,4.6,17.8,96.6,ATL,27.9,40.0,-0.77,90.2,0.249,0.535,13.4,23.9,0.192,0.48,14.4,74.4,0.18600000000000005,2011-12
9,0.35200000000000004,0.779,39.3,22.0,6.1,4.2,19.0,95.0,ATL,27.4,44.0,-0.28,89.3,0.222,0.542,13.5,23.4,0.209,0.495,12.3,74.6,0.211,2010-11
10,0.363,0.8009999999999999,46.0,22.8,8.3,5.6,21.4,113.0,BOS,25.3,43.0,-0.48,99.3,0.382,0.5670000000000001,12.0,23.9,0.204,0.51,13.6,77.5,0.212,2019-20
11,0.365,0.802,44.5,26.3,8.6,5.3,20.4,112.4,BOS,25.7,49.0,-0.54,99.6,0.381,0.5670000000000001,11.5,21.6,0.173,0.514,13.4,77.0,0.198,2018-19
12,0.377,0.7709999999999999,44.5,22.5,7.4,4.5,19.7,104.0,BOS,24.7,55.0,-0.35,96.0,0.35700000000000004,0.552,13.0,21.5,0.188,0.495,13.0,78.4,0.191,2017-18
13,0.359,0.807,42.0,25.2,7.5,4.1,20.6,108.0,BOS,25.9,53.0,-0.39,96.8,0.393,0.5670000000000001,12.2,21.2,0.22,0.503,12.6,75.3,0.223,2016-17
14,0.335,0.7879999999999999,44.9,24.2,9.2,4.2,21.9,105.7,BOS,25.2,48.0,-0.37,98.5,0.293,0.531,12.1,25.1,0.208,0.487,14.6,74.6,0.231,2015-16
15,0.327,0.754,43.8,24.5,8.2,3.6,21.2,101.4,BOS,25.0,40.0,-0.56,95.8,0.28,0.523,12.5,24.7,0.17600000000000002,0.494,13.7,75.0,0.208,2014-15
16,0.333,0.777,42.5,21.0,7.1,4.2,21.3,96.2,BOS,25.4,25.0,-0.51,93.3,0.251,0.517,14.2,27.4,0.193,0.505,13.4,74.2,0.227,2013-14
17,0.358,0.7759999999999999,39.3,22.8,8.2,4.5,21.2,96.5,BOS,29.1,41.0,-0.4,91.7,0.215,0.542,14.1,20.1,0.204,0.482,14.2,73.3,0.21600000000000005,2012-13
18,0.3670000000000001,0.778,38.8,23.6,7.5,5.5,19.9,91.8,BOS,29.3,39.0,-0.26,90.4,0.194,0.535,14.7,19.7,0.2,0.452,14.9,72.4,0.21600000000000005,2011-12
19,0.365,0.77,38.8,23.4,8.2,4.2,20.5,96.5,BOS,29.5,56.0,-0.54,90.4,0.18,0.561,14.5,21.1,0.235,0.469,14.8,74.7,0.235,2010-11
20,0.35100000000000003,0.737,42.7,21.7,6.1,5.1,18.2,96.9,CHA,25.5,43.0,-0.67,92.4,0.219,0.522,11.7,21.9,0.219,0.491,12.6,77.6,0.183,2013-14
21,0.335,0.75,40.3,19.4,7.2,5.8,19.0,93.4,CHA,24.4,21.0,-0.06,91.5,0.21,0.507,13.2,25.7,0.233,0.524,13.2,71.1,0.197,2012-13
22,0.295,0.746,39.0,20.1,6.0,5.5,18.9,87.0,CHA,24.5,7.0,-0.05,91.1,0.16899999999999998,0.483,13.9,23.6,0.206,0.512,12.8,70.9,0.206,2011-12
23,0.327,0.7559999999999999,40.1,21.1,6.4,5.3,20.0,93.3,CHA,26.9,34.0,-0.08,89.6,0.189,0.528,14.1,25.7,0.237,0.5,12.9,75.2,0.229,2010-11
24,0.348,0.755,41.9,23.2,10.0,4.1,21.8,106.8,CHI,24.4,22.0,-0.73,99.7,0.396,0.547,13.7,22.8,0.175,0.546,16.3,75.6,0.239,2019-20
25,0.35100000000000003,0.7829999999999999,42.9,21.9,7.4,4.3,20.3,104.9,CHI,24.0,22.0,0.1,99.0,0.295,0.541,12.7,19.4,0.184,0.541,11.9,77.3,0.188,2018-19
26,0.355,0.759,44.7,23.5,7.6,3.5,19.2,102.9,CHI,24.4,27.0,0.2,98.3,0.35,0.529,12.6,20.6,0.16399999999999998,0.542,12.4,80.6,0.184,2017-18
27,0.34,0.7979999999999999,46.3,22.6,7.8,4.8,17.7,102.9,CHI,26.9,41.0,-0.39,95.3,0.256,0.53,12.3,27.0,0.206,0.507,12.4,76.8,0.16899999999999998,2016-17
28,0.371,0.787,46.3,22.8,6.0,5.7,18.8,101.6,CHI,27.6,42.0,0.01,95.7,0.244,0.526,12.6,24.5,0.189,0.485,10.7,74.9,0.182,2015-16
29,0.353,0.7829999999999999,45.7,21.7,6.3,5.8,18.2,100.8,CHI,28.8,50.0,-0.46,92.8,0.269,0.536,12.9,27.0,0.238,0.473,11.3,74.4,0.182,2014-15
30,0.348,0.779,44.1,22.7,7.2,5.2,19.1,93.7,CHI,28.6,48.0,-0.66,90.2,0.222,0.518,14.2,27.2,0.226,0.471,13.7,75.4,0.189,2013-14
31,0.353,0.773,43.2,23.0,7.2,5.1,19.7,93.2,CHI,28.0,45.0,-0.33,89.3,0.189,0.512,13.6,29.4,0.201,0.477,13.2,73.6,0.206,2012-13
32,0.375,0.722,46.7,23.1,6.9,5.9,17.3,96.3,CHI,27.1,50.0,-0.76,89.1,0.205,0.523,13.2,32.6,0.184,0.45,12.8,74.3,0.175,2011-12
33,0.361,0.743,44.2,22.3,7.2,5.7,20.0,98.6,CHI,26.4,62.0,-0.79,90.4,0.215,0.541,13.5,29.4,0.227,0.463,13.6,76.2,0.222,2010-11
34,0.35100000000000003,0.758,44.2,23.1,6.9,3.2,18.3,106.9,CLE,25.0,19.0,0.33,98.7,0.362,0.5529999999999999,14.6,24.6,0.172,0.56,11.7,77.4,0.16399999999999998,2019-20
35,0.355,0.792,42.7,20.7,6.5,2.4,20.0,104.5,CLE,25.2,19.0,0.22,96.6,0.332,0.54,12.2,23.7,0.187,0.564,11.5,77.0,0.181,2018-19
36,0.3720000000000001,0.779,42.1,23.4,7.1,3.8,18.6,110.9,CLE,30.6,50.0,-0.35,98.0,0.379,0.584,12.6,20.1,0.214,0.54,12.2,77.3,0.166,2017-18
37,0.384,0.748,43.7,22.7,6.6,4.0,18.1,110.3,CLE,29.2,51.0,-0.31,96.2,0.399,0.58,12.6,21.9,0.206,0.516,11.4,75.8,0.174,2016-17
38,0.362,0.748,44.5,22.7,6.7,3.9,20.3,104.3,CLE,28.1,57.0,-0.55,93.3,0.35200000000000004,0.5579999999999999,12.7,25.1,0.194,0.496,12.6,78.5,0.205,2015-16
39,0.3670000000000001,0.7509999999999999,43.0,22.1,7.4,4.1,18.4,103.1,CLE,26.9,53.0,-0.4,92.3,0.334,0.557,13.4,26.8,0.21600000000000005,0.502,12.6,74.7,0.177,2014-15
40,0.35600000000000004,0.7509999999999999,44.1,21.2,7.1,3.7,20.0,98.2,CLE,24.9,33.0,-0.57,93.1,0.236,0.518,13.0,27.2,0.201,0.508,13.0,75.8,0.199,2013-14
41,0.34600000000000003,0.7559999999999999,41.0,20.7,7.9,4.1,21.2,96.5,CLE,24.1,24.0,-0.19,92.3,0.229,0.514,13.0,28.1,0.2,0.523,14.4,72.6,0.225,2012-13
42,0.34600000000000003,0.716,42.3,19.8,7.1,4.0,20.0,93.0,CLE,26.0,21.0,-0.14,91.3,0.238,0.505,14.3,28.9,0.22,0.508,13.1,72.2,0.202,2011-12
43,0.342,0.745,40.3,21.0,6.6,4.2,20.1,95.5,CLE,26.6,19.0,0.14,93.0,0.224,0.518,13.4,24.2,0.233,0.524,12.7,73.3,0.211,2010-11
44,0.369,0.773,47.0,24.5,6.3,5.0,19.0,116.4,DAL,26.2,40.0,-0.21,99.1,0.461,0.581,11.3,23.5,0.198,0.519,10.9,77.4,0.172,2019-20
45,0.34,0.742,45.3,23.4,6.5,4.3,20.1,108.9,DAL,26.9,33.0,0.42,99.0,0.422,0.555,12.7,22.7,0.21600000000000005,0.522,11.6,77.5,0.191,2018-19
46,0.36,0.763,41.3,22.7,7.0,3.8,19.2,102.3,DAL,27.7,24.0,0.34,95.6,0.382,0.544,11.6,18.0,0.166,0.532,12.9,78.9,0.193,2017-18
47,0.355,0.8009999999999999,38.6,20.8,7.5,3.7,19.1,97.9,DAL,27.6,33.0,0.4,92.2,0.366,0.541,11.6,18.1,0.18,0.529,14.4,77.6,0.218,2016-17
48,0.344,0.794,43.1,22.1,6.8,3.7,19.5,102.3,DAL,30.3,42.0,0.29,94.3,0.339,0.544,12.0,20.6,0.211,0.504,12.8,76.2,0.198,2015-16
49,0.35200000000000004,0.752,42.3,22.5,8.1,4.5,20.0,105.2,DAL,29.9,50.0,0.46,95.2,0.29600000000000004,0.55,11.9,23.6,0.197,0.503,14.7,72.2,0.204,2014-15
50,0.384,0.795,40.9,23.6,8.6,4.3,20.0,104.8,DAL,30.6,49.0,0.5,93.5,0.274,0.564,12.7,24.6,0.201,0.515,14.8,72.7,0.229,2013-14
51,0.3720000000000001,0.7929999999999999,41.9,23.2,7.9,5.5,20.7,101.1,DAL,29.5,41.0,0.36,94.1,0.236,0.544,13.0,21.8,0.192,0.4920000000000001,13.3,73.1,0.227,2012-13
52,0.339,0.7709999999999999,42.8,20.9,8.6,5.1,18.6,95.8,DAL,31.3,36.0,0.83,91.4,0.271,0.527,13.4,23.4,0.19,0.479,13.9,74.8,0.203,2011-12
53,0.365,0.777,41.4,23.8,6.8,4.3,19.2,100.2,DAL,30.9,57.0,0.18,91.3,0.274,0.565,13.6,24.1,0.222,0.488,13.0,74.8,0.206,2010-11
54,0.358,0.775,44.3,26.5,8.1,4.6,20.0,110.4,DEN,25.6,43.0,0.06,97.2,0.342,0.564,12.3,24.7,0.17800000000000002,0.526,13.0,77.0,0.194,2019-20
55,0.35100000000000003,0.755,46.4,27.4,7.7,4.4,20.0,110.7,DEN,24.9,54.0,0.24,97.7,0.348,0.5579999999999999,11.9,26.6,0.175,0.521,12.3,78.0,0.194,2018-19
56,0.371,0.767,44.5,25.1,7.6,4.9,18.7,110.0,DEN,25.1,46.0,0.09,96.8,0.35700000000000004,0.57,13.4,25.7,0.198,0.539,12.6,77.5,0.173,2017-18
57,0.368,0.774,46.4,25.3,6.9,3.9,19.1,111.7,DEN,25.2,40.0,0.19,98.3,0.329,0.568,13.2,27.3,0.214,0.532,10.9,78.7,0.194,2016-17
58,0.338,0.7659999999999999,44.6,22.7,7.4,4.8,21.0,101.9,DEN,24.7,33.0,0.29,95.7,0.277,0.531,13.2,25.8,0.21600000000000005,0.515,12.6,77.3,0.21600000000000005,2015-16
59,0.325,0.7340000000000001,44.7,21.8,7.8,4.5,23.0,101.5,DEN,26.4,30.0,0.48,96.1,0.284,0.518,12.7,26.6,0.204,0.504,13.0,74.7,0.239,2014-15
60,0.358,0.726,45.4,22.4,7.5,5.6,23.0,104.4,DEN,26.0,36.0,0.75,98.1,0.278,0.536,14.0,27.5,0.222,0.5,12.8,74.5,0.233,2013-14
61,0.343,0.701,45.0,24.4,9.3,6.5,20.5,106.1,DEN,26.1,57.0,0.28,95.1,0.217,0.5489999999999999,13.6,31.4,0.21600000000000005,0.493,14.3,71.8,0.193,2012-13
62,0.332,0.735,43.1,24.0,8.2,5.0,19.7,104.1,DEN,26.6,38.0,0.29,94.2,0.243,0.556,14.1,27.7,0.239,0.508,14.3,74.3,0.185,2011-12
63,0.388,0.765,42.0,22.1,7.4,4.3,21.0,107.5,DEN,27.3,50.0,0.05,95.6,0.258,0.574,13.1,23.9,0.281,0.5,12.7,75.4,0.224,2010-11
64,0.3670000000000001,0.743,41.7,24.1,7.4,4.5,19.7,107.2,DET,25.9,20.0,-0.66,97.6,0.381,0.561,13.8,22.6,0.194,0.541,12.7,75.9,0.18600000000000005,2019-20
65,0.348,0.747,45.0,22.5,6.9,4.0,22.1,107.0,DET,26.9,41.0,-0.31,97.4,0.394,0.544,12.3,24.8,0.195,0.526,12.8,78.7,0.211,2018-19
66,0.373,0.745,43.7,22.8,7.7,3.9,18.4,103.8,DET,25.9,39.0,-0.11,96.2,0.333,0.5429999999999999,12.3,22.7,0.16899999999999998,0.524,13.7,78.5,0.172,2017-18
67,0.33,0.7190000000000001,45.7,21.1,7.0,3.8,17.9,101.3,DET,25.4,37.0,-0.17,95.0,0.263,0.521,10.9,24.1,0.157,0.516,12.1,81.2,0.197,2016-17
68,0.345,0.6679999999999999,46.3,19.4,7.0,3.7,19.0,102.0,DET,25.0,44.0,-0.18,95.1,0.303,0.522,12.2,27.0,0.197,0.504,12.5,79.3,0.196,2015-16
69,0.344,0.703,44.9,21.6,7.6,4.7,19.0,98.5,DET,25.9,32.0,-0.39,92.8,0.29,0.515,12.3,27.7,0.184,0.502,13.2,75.0,0.192,2014-15
70,0.321,0.67,45.4,20.9,8.4,4.8,20.3,101.0,DET,24.7,29.0,-0.48,94.9,0.222,0.514,12.9,31.4,0.199,0.52,13.8,73.4,0.218,2013-14
71,0.35600000000000004,0.6990000000000001,42.1,21.2,7.0,4.9,19.8,94.9,DET,25.3,29.0,-0.34,90.8,0.217,0.521,14.3,28.3,0.197,0.505,13.1,73.0,0.209,2012-13
72,0.34600000000000003,0.752,40.3,18.7,7.0,4.2,19.6,90.9,DET,26.3,25.0,-0.4,89.2,0.175,0.51,15.0,28.1,0.21,0.5,14.2,72.8,0.226,2011-12
73,0.376,0.737,38.6,21.1,7.3,4.0,19.9,97.0,DET,27.2,30.0,-0.18,89.2,0.189,0.5329999999999999,12.5,27.4,0.206,0.526,13.8,72.1,0.235,2010-11
74,0.334,0.8029999999999999,42.8,25.6,8.2,4.6,20.1,106.3,GSW,24.4,15.0,0.79,100.3,0.355,0.54,13.2,21.5,0.212,0.5529999999999999,13.7,76.4,0.193,2019-20
75,0.385,0.8009999999999999,46.2,29.4,7.6,6.4,21.4,117.7,GSW,28.4,57.0,-0.04,100.9,0.384,0.596,12.6,22.5,0.182,0.508,11.7,77.1,0.205,2018-19
76,0.391,0.815,43.5,29.3,8.0,7.5,19.6,113.5,GSW,28.8,58.0,-0.19,99.6,0.339,0.603,14.1,21.0,0.195,0.504,12.6,76.3,0.18600000000000005,2017-18
77,0.383,0.7879999999999999,44.4,30.4,9.6,6.8,19.3,115.9,GSW,28.2,67.0,-0.28,99.8,0.359,0.597,13.2,22.8,0.204,0.486,13.5,74.9,0.198,2016-17
78,0.416,0.763,46.2,28.9,8.4,6.1,20.7,114.9,GSW,27.4,73.0,-0.38,99.3,0.362,0.593,13.5,23.5,0.191,0.479,12.6,76.0,0.208,2015-16
79,0.398,0.768,44.7,27.4,9.3,6.0,19.9,110.0,GSW,26.6,67.0,-0.09,98.3,0.311,0.5710000000000001,13.1,24.1,0.184,0.47,14.3,74.5,0.217,2014-15
80,0.38,0.753,45.3,23.3,7.8,5.0,21.8,104.3,GSW,26.3,51.0,0.34,96.2,0.29100000000000004,0.55,13.8,25.1,0.18600000000000005,0.477,13.6,76.3,0.224,2013-14
81,0.403,0.79,45.0,22.5,6.9,4.2,21.4,101.2,GSW,25.3,47.0,0.42,94.5,0.239,0.545,14.0,25.4,0.201,0.486,12.4,75.5,0.211,2012-13
82,0.388,0.77,39.2,22.3,8.0,5.5,21.4,97.8,GSW,25.3,23.0,0.62,92.3,0.248,0.539,13.3,22.9,0.175,0.496,13.6,69.1,0.237,2011-12
83,0.392,0.7609999999999999,40.5,22.5,9.0,5.0,22.0,103.4,GSW,25.2,36.0,0.33,94.8,0.248,0.544,13.3,26.7,0.183,0.509,14.5,69.3,0.259,2010-11
84,0.348,0.787,44.9,21.5,8.5,5.1,21.6,118.1,HOU,29.1,40.0,0.03,103.3,0.488,0.578,12.6,22.4,0.226,0.528,13.5,75.6,0.194,2019-20
85,0.35600000000000004,0.7909999999999999,42.1,21.2,8.5,4.9,22.0,113.9,HOU,29.2,53.0,0.19,97.9,0.519,0.581,12.0,22.8,0.221,0.525,13.4,74.4,0.21,2018-19
86,0.362,0.7809999999999999,43.5,21.5,8.5,4.8,19.5,112.4,HOU,29.8,65.0,-0.27,97.6,0.502,0.59,12.7,21.3,0.233,0.521,13.4,79.9,0.171,2017-18
87,0.35700000000000004,0.7659999999999999,44.4,25.2,8.2,4.3,19.9,115.3,HOU,27.4,55.0,0.08,100.0,0.462,0.583,13.3,24.6,0.233,0.519,13.2,75.8,0.194,2016-17
88,0.34700000000000003,0.6940000000000001,43.1,22.2,10.0,5.2,21.8,106.5,HOU,27.8,41.0,0.14,97.6,0.37,0.5529999999999999,14.2,25.7,0.244,0.516,14.7,72.8,0.219,2015-16
